"京都には訪れるべき場所がたくさんある。
There are (   ) (   ) (   ) (   ) (   ) (   ) in Kyoto.",There are a lot of places to visit in Kyoto.
"Mr. and Mrs. Johnson went to New York, (   ) (   )? (付加疑問文に）",didn't / they
"Your mother is a teacher, (   ) (   )? (付加疑問文に）",isn't / she
"Your brother isn't a basketball fan, (   ) (   )? (付加疑問文に）",is / he
"Bill will buy a computer, ( 1 doesn't he  2 won't he  3 aren't you  4 didn't he )?",2 won't  he
"Ken didn't do his homework last night, ( 1 do  2 did  3 didn't  4 don't ) he?",2 did
"She won't come here, ( 1 is  2 won't  3 will  4 does ) she?",3 will
"Take care of yourself, ( 1 can  2 do  3 are  4 will) you?",4 will
"今、あなたは忙しくありませんよね。
( busy / you / you / are / aren't /  now, )?","You aren't busy now, are you?"
"Mr. Sato went to France last year, (   ) (   )?",didn't / he
"Let's play tennis next Sunday, ( 1 shall  2 will  3 won't  4 don't ) we?",1 shall
"Turn off the TV, (   ) (   )?",will / you
"Let's go to the party, (   ) (   )?",shall / we
"メアリーは日本語が話せませんね。－いいえ、話せます。
Mary can't speak Japanese, (   ) (   )? - (   ), she (   ).",can / she / Yes / can 
He knows me very ( 1 well  2 much ).,1 well
I like the cat very ( 1 well  2 much ).,2 much
"同じ文構造のものを選びなさい。
I walk to school.
1 I am happy.  2 I bought a CD for my brother.  3 He told us an interesting story.  4 We named the dog Jiro.  5 She lives in Tokyo.",5
"同じ文構造のものを選びなさい。
He became a doctor.
1 I am happy.  2 I bought a CD for my brother.  3 He told us an interesting story.  4 We named the dog Jiro.  5 She lives in Tokyo.",1
"同じ文構造のものを選びなさい。
He became a doctor.
1 I am happy.  2 I bought a CD for my brother.  3 He told us an interesting story.  4 We named the dog Jiro.  5 She lives in Tokyo.",1
His mother bought him a new bike.　（toかforを使ってほぼ同じ意味を表す文に）,His mother bought a new bike for him.
I gave her a present.　（toかforを使ってほぼ同じ意味を表す文に）,I gave a present to her.
Please show me your album.　（toかforを使ってほぼ同じ意味を表す文に）,Please show your album to me.
"同じ文構造のものを選びなさい。
I know him very well.
1 I am happy.  2 I bought a CD for my brother.  3 He told us an interesting story.  4 We named the dog Jiro.  5 She lives in Tokyo.",2
"同じ文構造のものを選びなさい。
I know him very well.
1 I am happy.  2 I bought a CD for my brother.  3 He told us an interesting story.  4 We named the dog Jiro.  5 She lives in Tokyo.",2
"Ms. Sasaki is our math teacher.
Ms. Sasaki (   ) (   ) math.",teaches / us
あなたに私の人生の話をしましょう。I'm going to tell (   ) the (   ) of my life.,you / story
あなたに私の住所を教えましょう。I'll show (   ) (   ) (   ).,you / my / address
先生は私にこの本を貸してくれました。The teacher lent (   ) (   ) (   ).,me / this / book
先生は私にこの本を貸してくれました。The teacher lent (   ) (   ) (   ).,me / this / book
あなたに私の人生の話をしましょう。I'm going to tell (   ) the (   ) of my life.,you / story
あなたに私の住所を教えましょう。I'll show (   ) (   ) (   ).,you / my / address
"同じ文構造のものを選びなさい。
He gave me a present.
1 I am happy.  2 I bought a CD for my brother.  3 He told us an interesting story.  4 We named the dog Jiro.  5 She lives in Tokyo.",3
"同じ文構造のものを選びなさい。
He gave me a present.
1 I am happy.  2 I bought a CD for my brother.  3 He told us an interesting story.  4 We named the dog Jiro.  5 She lives in Tokyo.",3
I get up at six (every) morning.　（(  )をyesterday にかえて）,I got up at six yesterday morning.
His car was washed (last Sunday).　（(  )が答えの中心となる疑問文に）,When was his car washed?
Jane was writing her report (before dinner). （(   )が答えの中心となる疑問文に,When was Jane writing her report?
We were watching birds (in the park). （(   )が答えの中心となる疑問文に,Where were you watching birds?
My brother was (playing the guitar) then. （(   )が答えの中心となる疑問文に,What was your brother doing then?
(Mike) was helping Sam with his homework. （(   )が答えの中心となる疑問文に,Who was helping Sam with his homework?
私はそのとき、風呂に入っていました。I (   ) (   ) a bath at that time.,was / taking
少年たちは校舎のまわりを走っていました。 The boys (   ) (   )around the school building.,were / running
メアリーは昨夜12時ごろ眠っていませんでした。 Mary (   ) (   ) about twelve last night.,wasn't / sleeping
あなたはそのとき窓のそばに座っていましたか。 (   ) you (   ) by the window then?,Were / sitting 
あなたたちの先生はそのとき何をしていましたか。 What (   ) your teacher (   ) then? - He (   ) (   ) in the pool.,was / doing / was / swimming
"Where （　　　） the boys playing soccer then?
1　was  2　are  3　is  4　were",4 were
あなたはゆうべどんな種類の本を読んでいましたか。( book / were / kind / reading / you / what / did / of ) last night? 1語不要,What kind of book were you reading last night?
メアリーは顔を洗っていましたか。( face / was / her / were / washing / Mary )?1語不要,Was Mary washing her face?
私たちはそのとき朝食を食べていませんでした。 ( breakfast / had / were / we / having / not ) then.1語不要,We were not having breakfast then.
ポールはそのときお皿をテーブルの上に置いていました。( is / dishes / was / some / Paul / on / putting / the / table ) at that time. 1語不要,Paul was putting some dishes on the table.
"これらの本は若い人たちに読まれています。
These books (   ) (   ) by young people.
",are / read
"Let’s play tennis after school.
(   ) (   ) play tennis after school?
",Shall / we
Mary （ be / to / will / swim / well / able ） next summer.　　,Mary will be able to swim next summer.
"ブラウン先生は疲れているにちがいありません。
Mr. Brown (   ) (   ) tired.
",must / be
"He is old, but he can swim very fast.
(   ) (   ) is old, he can swim very fast.
",Though (Although) / he
あなたかトム（Tom）のどちらかが電気を消さなければなりません。,Either you or Tom has to［must］ turn off the light［the light off］.
"私は朝食を食べずに学校に来ました。
I came to school (   ) (   ) breakfast.
",without / having またはeating
私たちはきのう，公園で絵をかいて楽しみました。,We enjoyed drawing［painting］ a picture［pictures］ in the park yesterday.
"Thank you for （　　　） my sister.
1　help  2　to help 3 helping　　4　helped",3 helping
"This question is （　　　） of all.
1 easier　　2　the easiest　　3　easy   4　easiest",2 the easiest
His room（ as  /　as  / large　/　twice　/　mine /　is　）.,His room is twice as large as mine.
あなたは野球とテニスではどちらのほうが好きですか。,"Which do you like better, baseball or tennis?"
私は何かおもしろい読み物がほしい。,I want something interesting to read.
Ken ( excited　/　see  /　was  /　the game　/　to).,Ken was excited to see the game.
"Mike will arrive in Japan (   ) March 3.
1 at  2 in  3 on  4 for",3
"I forgot to bring my umbrella with me.  When I ledt home, it (   ) raining.
1 isn't  2 wasn't  3 doesn't  4 didn't",2
"I don't like math, but Ken likes (   ) very much.
1 it  2 me  3 them  4 him",1
"Junko has not cleaned her room (   ).
1  already  2 ever  3 never  4 yet",4
"This is (   ) sister Yoko.
1 I  2 my  3 me  4 mine",2
"It stopped (   ) soon.
1 rain  2 raining  3 rains  4 to rain",2
"I am as (   ) as my father.
1 tall  2 taller  3 tallest  4 the tallest",1
"Kana will (   ) fifteen years old next month.
1 am 2 been  3 was  4 be",4
"Do you know those boys (   ) in the park?
1 run  2 runs  3 running  4 ran",3
"Mr Yoshino is (   ) Osaka, so he sometimes speaks in an Osaka accent.
1 from  2 lived  3 like  4 visit",1
"I have a friend (   ) lives in Sapporo.
1 who  2 usually  3 only  4 which",1
"There's (   ) interesting in today's newspaper.
1 any  2 no  3 one  4 nothing",4
"A: Jun, do you have any pets?
B: Yes, I do.  I have (   ) old dog.
1 a  2 an  3 the  4 your",2
"A: How was the (   ) in Hokkaido?
B: It was very cold and snowy, but I really enjoyed my trip there.
1 food  2 shopping  3 date  4 weather",4
"A: I love this coat.  (   ) did you buy it?
B: O bought it at a new shop on ABC Street.
1 What  2 When  3 Where  4 Why",3
"A: Which do you like better,baseball (   ) soccer?
B: I like soccer better than baseball.
1 and  2 or  3 for  4 than",2
"A: (   ) you ever visited Okinawa?
B: Yes. My aunt lives there and I visited her last winter.
1 Are  2 Do  3 Did  4 Have",4
"A: You didn't come to the party last night. Why not?
B: (   ) I had so many things to do.
1 Because  2 But  3 If  4 When",1
"A: Look at this picture.  This is me.
B: Cute.  When was it (   )?
A: When I was in the first grade.
1 take  2 took  3 taken  4 taking",3
"彼女にとって英語を話すことは簡単です。
(   ) easy (   ) her to speak English.",It's / for
"先生は私たちに立つように言いました。
The teacher (   ) us (   ) stand up.",told / to
"その映画はちょうど始まったところです。
Themovie (   ) (   ) started.",has / just
"私はピアノを弾くのが得意です。
I'm (   ) at (   ) the piano.",good / playing
"祖父は祖母よりも早く起きます。
My grandfather (   ) up (   ) than my grandmother.",gets /earlier
"この人形がその４つの中で一番美しい。
This doll is the (   ) (   ) of the three.",most / beautiful
"電話で伝言を頼むとき
Can I (   ) a message?",leave
"相手を散歩に誘うとき
(   ) take a walk.",Let's
"相手に今の時刻を尋ねるとき
(   ) (   ) is it now?",What / time
"初対面の相手に挨拶するとき
Nice (   ) meet (   ).",to / you
"両手がふさがっている相手に「ドアを開けましょうか」と申し出るとき
(   ) I open the (   )?",Shall / door
(   ) is the day after Sunday and before Tuesday.,Monday
We can read newspapers and borrow books in the (   ).,library
(   ) is the coldest season of the year.,Winter
A (   ) is a person who teaches students.,teacher
"A: How long have you lived in the city?
B: For five years.  I've lived here ( s   ) 2012.",since
"A: This is a nice bike.  Whose bike is it?
B: It's (m   ).  My father bought it for me yesterday.",mine
"A: May I visit your house tomorrow afternoon?
B: Of course.  Can you come ( b   ) two and three o'clock?
A: Yes.  I'll come at two thirty.",between
"A: Could you tell me the ( w   ) to City Hospital?
B: Sure.  Go straight, and you will see it on your left.",way
"A: I'm hungry.  Have you had lunch yet?
B: Yes.  I've already ( f   ) lunch.  I ate two hamburgers.",finished
"A: What kind of music do you like?
B: I like rock music.  I ( l   ) to it at home every day.",listen
"A: Have you ever been to Japan?
B: Yes.  I've visited some cities.  For ( e   ), Kyoto and Nara.",example
"A: Ms Suzuki, can I use a computer in the computer room?
B: Yes.  But ( w   ) do you want to use it?
A: To learn about the moon on the Internet.",why
"父は日曜日にはテニスをします。
My father (   ) tennis on Sundays.
1 play  2 plays  3 played  4 playing",2
"私がその店を訪れたときには、店の前で待っている人がたくさんいました。
There (   ) a lot of people waiting in front of the shop when I visited there.
1 is  2 are  3 was  4 were",4
"そのパーティでジェーンは健と話をするのを楽しみにしていました。
At the party, Jane really enjoyed (   ) with Ken.
1 talk  2 to talk  3 talking  4 talked",3
"ナイル川は世界で最も長い川です。
The Nile is the (   ) river in the world.
1 long  2 longer  3 more long  4 longest",4
"English is (   ) in many countires.
1 speak  2 spoke  3 spoken  4 speaking",3
"When Yumi got home, her brother was (   ) TV.
1 watch  2 watched  3 watches  4 watching",4
"Bob will go to Okinawa this summer.  He (   ) never been there.
1 have  2 has  3 had  4 having",2
"I know the man (   ) under the tree in the park.
1 sitting  2 sit  3 sits  4 sat",1
"A: What kind of animals do you like?
B: I like (   ) the best.  I want to have a cat.
1 cat  2 a cat  3 the cats  4 cats",4
"A: You have a very old book.
B: This is a book (   ) about 70 years ago.
1 write  2 wrote  3 written  4 writing",3
"私は博物館に行きたい。
I want (   ) (   ) to the museum.",to / go
"私はその雑誌を読みたい。
I want (   ) (   ) the magazine.",to / read
"私はそのアイスクリームを食べたい。
I want (   ) (   ) the ice cream.",to / eat
"彼女の夢はその大会で優勝することだ。
Her dream is (   ) (   ) the championship.",to / win
"コンピュータを使うのはとても面白い。
(   ) is a lot of fun (   ) (   ) a computer.",It / to / use
"彼女は医者になる決心をした。
She decided (   ) (   ) a doctor.",to / be [become ]
"彼は料理をするのは面白いとわかった。
He found (   ) interesting (   ) (   ).",it / to / cook
It is my dream to travel around the world.,世界中を旅するのが私の夢だ。
I think it easy to finish this work by tomorrow.,明日までにこの仕事を終わらせるのは簡単だと思う。
私は何か飲むものがほしい。 I want (   ) (   ) (   ).,something / to / drink
私は何か食べるものがほしい。 I want (   ) (   ) (   ).,something / to / eat
私は終えなければならない仕事がたくさんある。 I have a (   ) (   ) work (   ) (   ).,lot / of / to / do
私は読まなければならない本がたくさんある。 I have a (   ) (   ) books (   ) (   ).,lot / of / to / read
He ( difficult / it / climb the mountain / found / to ).,He found it difficult to climb the mountain.
( swim / dangerous / is / it / to ) across the river.,It is difficult to swim across the river.
The pop idol ( support / many fans / to / him / has ).,The pop idol has many fans to support him.
"その仕事をだれかの手伝いもなしに終えることは不可能だ。
It's impossible (   ) (   ) the work without somebody's help.",to / finish
"数学を教えることは簡単ではない。
It's not easy (   ) (   ) math.",to / teach
"私の夢は歌手になることだ。
My dream is (   ) (   ) a singer.",to / be [become ]
"彼女はカナダで勉強する予定である。
She is planning (   ) (   ) in Canada.",to / study
"私は自分の気持ちに正直であることが必要だと思う。
I think it necessary (   ) (   ) honest about your feelings.",to / be
"私は電車の中で読むための雑誌を買った。
I bought a magazine (   ) (   ) on the train.",to / read
"明日の朝に食べるパンがいくらか必要だ。
We need some bread (   ) (   ) tomorrow morning.",to / eat
"彼女は市長になった最初の女性だった。
She was the first (   ) to (   )  mayor of the city.",woman / be [ become ]
"私は猫の世話をしてくれる人を探している。
I'm looking for someone (   ) (   ) care of my cat.",to / take
"彼女にはその問題についていうべきことはなかった。
She had nothing (   ) (   ) about the problem.",to / say
"私には助けてくれる友人たちがいる。
I have some friends (   ) (   ) me.",to / help
It is fun to watch basketball games on TV.,テレビでバスケットボールの試合を見るのは楽しい。
Miki found it hard to finish the homework in a day.,ミキは１日で宿題を終わらせるのは難しい、とわかった。
He bought a few books to read for summer vacation yesterday.,彼は昨日、夏休みのための本を数冊買った。
"来月はたくさんすることがあるだろう。
There ( a lot of / do / be / to / things / will ) next month.",There will be a lot of things to do next month.
"私たちはそのウェブサイトにある話は信じがたいと思った。
( believe / we / it / hard / the story / to / found ) on the website.",We found it hard to believe the story on the website.
"自力で犬小屋を作るのは難しい。
It (   ) (   ) (   ) make a doghouse by myself.",is / difficult / to
"私は何か冷たい飲み物がほしい。
I want (   ) (   ) (  ) drink.",something / cold / to
"彼には支持してくれる人がだれもいない。
He has no one (   ) (   ) (   ).",to / support / him
"She left home early to catch the first train.
She left home early so (   ) (   ) catch the first train.",as / to 
"She left home early to catch the first train.
She left home early in (   ) (   ) catch the first train.",order / to
"彼の家に行ってみると、外出中だとわかった。
I went to his house (   ) (   ) he was out.",to / find
"彼女は成長して有名な画家になった。
She grew up (   ) (   ) a famous painter.",to / be [become ]
"真実を語るなんて、彼は正直に違いない。
He must be honest (   ) (   ) the truth.",to / tell 
"私の誕生日を覚えているなんて、君は親切だ。
(   ) is nice (   ) you (   ) remember my birthday.",It / of / to
"彼女はジムにドアを閉めるように言った。
( told / she / to / Jim / the door / close ).",She told Jim to close the door.
"私はあなたに私の言うことを注意深く聞いてほしい。
I ( me / you / to / listen to / want ) carefully.",I want you to listen to me carefully.
"私は彼から電話があると思っていた。
I ( him / me / expected / call / to ).",I expected him to call me.
"母は私が携帯電話を持つことを許してくれた。
My mother ( to / me / have / allowed / a cell phone ).",My mother allowed me to have a cell phone.
She went to the library to do her homework.,彼女は図書館に、宿題をしに行った。
Bill got up early in order to take the first train.,ビルは始発電車に乗るために早起きした。
I was very glad to see my grandfather.,私は祖父にあえてとてもうれしかった。
They visited the museum to find it was closed.,彼らはその美術館を訪れたが閉まっていた。
You are lucky to get the concert ticket.,そのコンサートの切符を手に入れるとは幸運だ。
"彼女は東京でたくさんの高いビルを見て驚いた。
She was (   ) (   ) see many tall buildings in Tokyo.",surprised / to
"鍵をなくしてしまうとは彼は不注意だった。
It was careless (   ) (   ) (   ) (   ) the key.",of / him / to / lose
"彼は自分のおじの家に行ったが、外出中だとわかった。
He (   ) (   ) (   ) (   ) house (   ) find that he was out.",went / to / his / uncle's / to
"父は私に家にいるようにと言った。
My father (   ) me (   ) stay at home.",told / to
"私はいつもあなたたちにベストを尽くしてほしいと思っている。
I always want (   ) (   ) do your best.",you / to
"私はジムに私たちのチームに加わるよう頼むつもりだ。
I'll (   ) Jim (   ) (   ) our team.",ask / to / join
"先生は彼らが辞書を使うのを許可した。
The teacher (   ) them (   ) (   ) the dictionary.",allowed [ permitted ] / to  / use
"母は私に6時までに家に帰るように忠告した。
My mother (   ) me (   ) come home by six.",advised / to
"コーチはその試合の結果を聞いて興奮した。
The coach ( excited / the result / hear / to / was ) of the game.",The coach was excited to hear the result of the game.
"ジャックは友達に公園に来るように言った。
Jack ( told / to / his / friend / come ) to the park.",Jack told his friend to come to the park.
"私は早く寝るために夕食前に宿題をした。
I did my homework before dinner ( bed / order / early / go / in / to / to ).",I did my homework before dinner  in order to go to bed early.
"その少年は成長して有名な音楽家になった。
The boy (   ) (   ) (   ) (   ) a famous musician.",grew / up / to / be
"彼女は親切にも私に道を教えてくれた。
It (   ) (   ) (   ) (   ) (   ) show me the way.",was / kind / of / her / to
It is kind ( 1 for  2 of ) you to help me.,2
It is difficult  ( 1 for  2 of ) me to answer the question.,1
It was impossible ( 1 for  2 of ) Mark to finish his work in a day.,1
It was nice ( 1 for  2 of ) him to carry our baggage.,2
"私は弟に窓を開けないように言った。
I told my brother (   ) (   ) (   ) the window.",not / to / open
"彼女にそのことを言わなかったとは、私はうっかりしていた。
I was careless (   ) (   ) (   ) her about it.",not / to / tell
"私はケンに自転車を直してもらった。
I (   ) Ken repair my bicycle.",had
"ピーターは自分のコンピュータを私に使わせてくれた。
Peter (   ) me use his computer.",let
"母は私に部屋を片付けさせた。
My mother (   ) me clean my room.",made
"私たちはホワイト氏が彼のオフィスを出るのを見た。
We ( go / Mr. White / saw / out ) of his office.",We saw Mr. White go out of his office.
"ぼくはその機械が奇妙な音を立てるのを聞いた。
I ( heard / make / a strange noise / the machine ).",I heard the machine make a strange noise.
"私は一匹のネコが台所に入ってくるのに気づかなかった。
I didn't ( the kitchen / enter / notice / a cat ).",I didn't notice a cat enter the kitchen.
It is difficult to read the book. ( Alice を不定詞の意味上の主語として）,It is difficult for Alice to read the book.
It was careless to lose the key. ( you を不定詞の意味上の主語として）,It was careless of you to lose the key.
There are a lot of things to do this week. ( me を不定詞の意味上の主語として）,There are a lot of things for me to do this week.
It was kind of you to give her such good advice.,彼女にそんな良い忠告をしてくれたなんてあなたは親切ですね。
I didn't expect you to return my dictionary so soon.,辞書をそんなにすぐに返してくれるとは思っていませんでした。
Is it easy for you to come to the station on foot?,あなたが徒歩で駅まで来るのは簡単ですか。
"学校に遅れないように気をつけなさい。
Be careful (   ) (   ) (   ) late for school.",not / to / be
"彼は息子にその機械に決して触れないようにと言った。
He told his son (   ) (   ) (   ) the machine.",never / to / touch
"彼女は風邪をひかないようにセーターを着た。
She put on a sweater in order (   ) (   ) (   ) a cold.",not / to / catch
"彼は私に彼のコンピュータを使わせてくれた。
He ( 1 let  2 allowed ) me use his computer.",1
"母は私にさらにあるニンジンをすべて食べさせた。
My mother ( 1 made  2 forced ) me eat all the carrots on the plate.",1
"私はだれかに仕事を手伝ってもらうつもりだ。
I'll ( 1 ask  2 have ) someone help me with my work.",2
"I saw Fred.  He walked into the library.
I (   ) Fred (   ) into the library.　（ほぼ同じ意味になるように）",saw / walk
"Jim sang a song.  She listened to it.
She (   ) (   ) Jim (   ) a song.　（ほぼ同じ意味になるように）",listened / to / sing
"Someone touched my shoulder. I felt it.
I (   )(   ) (   ) my shoulder.　（ほぼ同じ意味になるように） ",felt / someone / touch
"今度いつお越しになるのかお知らせください。
Please (   ) me (   ) when you will come next.",let / know
"彼らがそのホールで踊るのを見ましたか。
Did you (   ) (   ) (   ) in the hall?",see / them / dance
"あなたはお兄さんに一緒に行ってもらうべきだ。
You should (   ) your brother (   ) with you.",have / go
"彼がその話を信じるのは当然だ。
( him / natural / is / for / believe / it / to )the story.",It is natural for him to believe the story.
"彼の手紙は私を幸せな気分にさせた。
His letter ( feel / me / happy / made ).",His letter made me feel happy.
"私は母が部屋に入ってくるのに気がついた。
I (   ) (   ) (   ) (   ) into my room.",noticed / my / mother / come
"彼はそのコンピュータを買わないことに決めた。
He decided (   ) (   ) (   ) the computer.",not / to / buy
"スミスさんは忙しそうだ。
Ms. Smith (   ) (   ) be busy.",seems / to
"ジョンは昨日、一生懸命に勉強したようだ。
John seems (   ) (   ) (   ) hard yesterday.",to / have / studied
"父はそのプレゼントに驚いているようだった。
My father seemed (   ) (   ) surprised at the present.",to / be
"メグは鍵をなくしてしまったようだった。
Meg seemed (   ) (   ) (   ) her key.",to / have / lost
"She seems to know the truth.
(   ) seems (   ) (   ) (   ) the truth. （ほぼ同じ内容になるように）",It / that / she / knows
"Ted seems to have won first prize at the contest.
(   ) seems (   ) (   ) (   ) first prize at the contest.",It / that / Ted / won
"その男性はだれかを待っているようだった。
The man seemed (   ) (   ) (   ) for someone.",to / be / waiting
"地面が揺れているようだ。
The ground seems (   ) (   ) (   ).",to / be / shaking
"ジェシカはみんなに愛されたいと思っている。
Jessica wants (   ) (   ) (   ) by everyone.",to / be / loved
"彼女は髪型を変えたようだ。
She ( changed / to / appears / have ) her hairstyle.",She appears to have changed her hairstyle.
"彼はファッションに興味があるようだった。
He ( be / to / in / appeared / interested ) fashon.",He appeared to be interested in fashon.
"隣の家のネコが鳴いているようだ。
The cat next door ( to / crying / be / seems ).",The cat next door seems to be crying.
"うちの犬は皮ひもでつながれるのが好きではない。
Our dog ( like / be / doesn't / kept / to ) on a leash.",Our dog doesn't like to be kept on a leash.
"It seems that Lisa is busy.
Lisa (   ) (   ) be busy. （ほぼ同じ内容になるように）",seems / to
"It appears that he won the tennis match.
He (   ) to (   ) (   ) the tennis match. （ほぼ同じ内容になるように）",appears / have / won
"It seemed that she was a member of the basketball team.
She seemed (   ) (   ) a member of the basketball team. （ほぼ同じ内容になるように）",to / be
"It appeared that Ms. Wood had written the book.
Ms. Wood appeared to (   ) (   ) the book. （ほぼ同じ内容になるように）",have / written
"メアリーはしばらくの間、シカゴにいたようだ。
Mary seems to (   ) (   ) in Chicago for some time.",have / been
"ジャンは着物に興味があるらしい。
Jean appears (   ) (   ) interested in kimono.",to / be
"彼女の父親は仕事でアメリカに行ってしまったらしい。
Her father seems (   ) (   ) (   ) to America on business.",to / have / gone
"彼女は手に何かを持っているようだった。
She seemed (   ) (   ) something in her hand.",to / have
"気温はより高くなっているようだ。
The temperature seems (   ) (   ) getting higher.",to /  be
"その犬は眠っているようだ。
The dog appears (   ) (   ) (    ).",to / be / sleeping
"彼は教科書を探しているようだった。
He seemed (   ) (   ) (   ) for a textbook.",to / be / looking
"彼女に電話した時、私は彼女が勉強をしていると思っていた。
I expected her (   ) (   ) (   ) when I called her.",to / be /studying
( everyone / loved / to / be / wants ) by others.,Everyone wants to be loved by others.
( seems / respected / she / be / to ) by many people.,She seems to be respected by many people.
No one ( a liar / be / to / likes / called ).,No one likes to be called a liar.
I happened to see your mother on the bus.,私はたまたまバスであなたのお母さんに会った。
They came to know each other at the party.,彼らはパーティで知り合いになった。
He will get to like Japanese food.,彼は日本食が好きになるだろう。
"そのチケットは手に入れるのが困難だ。
The tickets are (   ) (   ) get.",hard / to
"私はその知らせを聞いて、驚きのあまり何も言えなかった。
I was (   ) surprised at the news (   ) say anything.",too / to
"奇妙なことに、だれもその部屋で彼女を見なかった。
Strange (   ) (   ), no one saw her in the room.",to / say
"そのような場合、何というべきかわかりますか。
Do you know (   ) (   ) say in such a case?",what / to
"正直に言って、この試合はとても退屈だ。
(   ) (   ) honest, this game is so boring.",To / be 
"These animals are so dangerous that you can't touch them.
These animals are (   ) dangerous for you (   ) touch. （ほぼ同じ内容になるように）",too / to
"He was so kind that he sent me a birthday card.
He was kind (   ) (   ) send me a birthday card. （ほぼ同じ内容になるように）",enough / to
"私は彼女にどこでその花を買ったらよいか尋ねてみよう。
I'll ask her ( to / flowers / buy / the / where ).",I'll aske her where to buy the flowers.
"本当のことを言えば、私は今日でかけたくない。
( the / you / to / truth / tell ), I don't want to go out today.","To tell you the truth, I don't want to go out today."
"その少年は親切にも地図を持ってきてくれた。
The boy was ( to / me / kind / a map / enough / bring ).",The boy was kind enough to bring me a map.
You will come to like your new school.,あなたは新しい学校が好きになってくるでしょう。
I happened to hear the news on the train.,私はたまたま電車内でその知らせを聞いた。
John and I got to know each other last year.,ジョンと私は昨年、知り合いになった。
"彼はたまたま彼女ととても近くに住んでいた。
He (   ) (   ) (   ) very close to her.",happened / to / live
"アマンダは彼女の仕事の重要さを理解するようになった。
Amanda (   ) (   ) (   ) the importance of her job.",came / to / understand
"このパズルは解くのが難しい。
This puzzle (   ) (   ) (   ) solve.",is / hard [ difficult ] / to
"すみません。切符の買い方を教えてくれませんか。
Excuse me.  Can you tell me (   ) (   ) (   ) the tickets?",how / to / get
"He got up so late that he couldn't arrive there in time..
He got up (   ) late (   ) (   ) there in time. （ほぼ同じ内容になるように）",too / to / arrive
"Jim was so nice that he took me home in his car..
Jim was nice (   ) (   ) (   )  me home in his car. （ほぼ同じ内容になるように）",enough / to / take
"この本はわかりやすい。
( understand / easy / is / to / this book ).",This book is easy to understand.
"私たちはどこへ行けばいいのかわからなかった。
( know / to / where / we / go / didn't ).","We didn't know where to go,"
"彼は運転免許を取得できる年齢だ。
He is ( to / old / get / enough ) a driver's license.",He is old enough to get a driver's license.
"本当のことを言えば、私は自転車に乗れない。
( you / truth / tell / to / the ), I can't ride a bicycle.","To tell you the truth, I can't ride a bicycle."
"率直に言うと、私は今、おなかが空いていない。
( you / be / with / to / frank ), I'm not hungry now.","To be frank with you, I'm not hungry now."
"A: I heard that you bought a house.
B: Yes. It's very comfortable.  Best of all, our living room (   ) the southeast.
1  brings  2 faces  3 pulls  4 draws",2
"Mr. Thompson has a wide (   ) of responsibilities and is always traveling around the world on business.
1 place  2 measure  3 country  4 range",4
"A: What time shall we start on Sunday?
B: Let's leave at 5:30 in the morning.  We should (   ) the rush hour.
1 avoid  2 keep  3 hurry  4 reserve",1
"A: How did you like the jazz concert last night, Tony?
B: It was really wonderful.  I (   ) enjoyed the drummer.  He was great.
1 necessarily  2 particularly  3 suddenly  4 regularly",2
"Nancy promised to call Ted, but she didn't.  Her (   ) was that she had lost her cell phone.
1 essay  2 effort  3 practice  4 excuse",4
"Last Saturday was my parents' 20th wedding (   ).  They went out for a special dinner together.
1 festival  2 anniversary  3 exhibition  4 foundation",2
"A: Mike, what would you like to have for dinner? 
B: (   ) will do, Helen.
1 Anything  2 Everything  3 Things  4 Something",1
"A: The weather report said it will clear up in the afternoon.
B: Oh, good. But if it does rain, we plan to go to the movie (   ).
1 suddenly  2 quickly  3 back  4 instead",4
"Our class (   ) the matter for a long time, but we didn't come to a conclusion.
1 closed  2 needed  3 developed  4 discussed",4
"A: How often does the ice hockey team practice?
B: That (   ), but usually about three times a week.
1 changes  2 turns  3 depends  4 reaches",3
"A: Are there any tickets left for the school concert tomorrow?
B: I don't know.  You should ask Kathy.  She's in (   ) og the tickets.
1 charge  2 spite  3 place  4 case",1
"We (   ) out of coal, and had to burn the wood instead.
1 used  2 saved  3 ran  4 cut",3
"A: Excuse me.  We'd like to use the tennis court.
B: OK. Please (   ) in this form.
1 fix  2 hold  3 fill  4 set",3
"My mother was so tired that she (   ) asleep while she wasreading a book.
1 grew  2 fell  3 drew  4 became",2
"A: How was the TV drama last night, Tom?
B: (   ), it was amusing.  But I didn't like the ending.
1 For example  2 At last  3 By the way  4 On the whole",4
"A: Do you want to go skating this afternoon, Sarah?
B: No thanks, Bill. I'm really (   ) skating.
1 bad at  2 full of  3 out of  4 ready for",1
"A: What would you like to drink tonight, sir?
B: Just water, thank you.  And I'd like to start (   ) the onion soup.
1 with  2 from  3 by  4 at",1
"I can hardly speak English, much (   ) write it.
1 more  2 less  3 better  4 little",2
"The population of our planet is growing too quickly.  In the future, some countries may have trouble (   ) enough room for their people to live.
1 find  2 finding  3 found  4 to find",2
"You are not good at swimming and (   ) am I.
1 neither  2 either  3 also  4 so",1
"A: Mary sent me an invitation to her birthday party on Saturday, but I have a tennis match that day.
B: You ( should / you / call her / and say / that ) can't go.
",You should call her and say that you can't go.
Jody's parents are having their 30th wedding anniversary party next month.  Jody is ( to /plane tickets / them / planning / give ) to Rome as a present.,Jody is planning to give them plane tickets to Rome as a present.
